"Folge","Titel","Sender","Erstausstrahlung","Ermittler","Fall","Autor","Regie","Besonderheiten"
619,"Sonnenfinsternis","MDR","01.1.2006","Ehrlicher und Kain",40,"Andreas Pflüger","Dieter Berner",""
620,"Blutdiamanten","WDR","15.1.2006","Ballauf und Schenk",33,"Sönke Lars Neuwöhner, Sven Poser","Martin Eigler",""
621,"Schwarzes Herz","NDR","22.1.2006","Lindholm",8,"Fabian Thaesler","Thomas Jauch",""
622,"Das ewig Böse","WDR","05.2.2006","Thiel und Boerne",9,"Rainer Matsutani","Rainer Matsutani",""
623,"Unter Kontrolle","SWR","05.3.2006","Odenthal und Kopper",36,"Stefan Rogall","René Heisig",""
624,"Feuerkämpfer","NDR","12.3.2006","Casstorff und Holicek",11,"Thomas Bohn","Thomas Bohn",""
625,"Pechmarie","WDR","19.3.2006","Ballauf und Schenk",34,"Stefan Cantz, Jan Hinter","Hendrik Handloegten",""
626,"Der schwedische Freund","SWR","26.3.2006","Blum und Perlmann",9,"W. Anders","Uli Möller","Fred Breinersdorfer schrieb das Drehbuch, war aber mit dem Resultat nicht zufrieden, und zog seinen Namen zurück."
627,"Sternenkinder","NDR","02.4.2006","Borowski",6,"Orkun Ertener","Hannu Salonen",""
628,"Kunstfehler","RBB","17.4.2006","Ritter und Stark",20,"Pim Richter","Hartmut Griesmayr",""
629,"Revanche","SWR","23.4.2006","Odenthal und Kopper",37,"Stefan Rogall, nach einer Idee von Klaus-Peter Wolf","Johannes Grieser",""
630,"Außer Gefecht","BR","07.5.2006","Batic und Leitmayr",43,"Christian Jeltsch","Friedemann Fromm","Erste Folge in Echtzeit. Nominiert für den Adolf-Grimme-Preis 2007; Bayerischer Fernsehpreis 2007 (Regie) an Friedemann Fromm"
631,"Tödliches Vertrauen","ORF","14.5.2006","Eisner",14,"Thomas Baum","Holger Barthel",""
632,"Stille Tage","Radio Bremen","21.5.2006","Lürsen und Stedefreund",15,"Jochen Greve","Thomas Jauch",""
633,"Bienzle und der Tod in der Markthalle","SWR","28.5.2006","Bienzle und Gächter",22,"Felix Huby","Arend Agthe",""
634,"Blutschrift","MDR","05.6.2006","Ehrlicher und Kain",41,"Holger Jancke","Hajo Gies",""
635,"Tod aus Afrika","ORF","02.7.2006","Eisner",15,"Felix Mitterer","Andreas Prochaska",""
636,"Gebrochene Herzen","SWR","23.7.2006","Blum und Perlmann",10,"Dorothee Schön","Jürgen Bretzinger",""
637,"Schattenspiele","NDR","20.8.2006","Casstorff und Holicek",12,"Christoph Silber, Thorsten Wettcke","Claudia Garde",""
638,"Der Lippenstiftmörder","SWR","27.8.2006","Odenthal und Kopper",38,"Christoph Darnstädt","Andreas Senn",""
639,"Mann über Bord","NDR","10.9.2006","Borowski und Jung",7,"Dorothee Schön","Lars Becker",""
640,"Pauline","NDR","24.9.2006","Lindholm",9,"Martina Mouchot","Niki Stein","Deutscher Fernsehpreis 2007 (Beste Schauspielerin) an Maria Furtwängler"
641,"Bienzle und der Tod im Weinberg","SWR","01.10.2006","Bienzle und Gächter",23,"Felix Huby und Dieter de Lazzer","Jochen Nitsch","Goldene Romy für das Beste Drehbuch"
642,"Nachtwanderer","SWR","08.10.2006","Odenthal und Kopper",39,"Isolde Sammer","Johannes Grieser",""
643,"Aus der Traum…","SR","15.10.2006","Kappl und Deininger",1,"Fred und Léonie-Claire Breinersdorfer","Rolf Schübel",""
644,"Das letzte Rennen","HR","29.10.2006","Dellwo und Sänger",8,"Judith Angerbauer und Lars Kraume","Edward Berger","Hessischer Fernsehpreis an Andrea Sawatzki und Jörg Schüttauf"
645,"Liebe am Nachmittag","WDR","05.11.2006","Ballauf und Schenk",35,"Norbert Ehry","Manuel Flurin Hendry",""
646,"Das zweite Gesicht","WDR","12.11.2006","Thiel und Boerne",10,"Matthias Seelig, Claudia Falk","Tim Trageser",""
647,"Liebe macht blind","RBB","19.11.2006","Ritter und Stark",21,"Stefan Rogall","Peter Fratzscher",""
648,"Das verlorene Kind","BR","26.11.2006","Batic und Leitmayr",44,"Jobst Oetzmann","Jobst Oetzmann",""
649,"Der Tag des Jägers","HR","03.12.2006","Dellwo und Sänger",9,"Niki Stein","Niki Stein",""
650,"Schlaflos in Weimar","MDR","17.12.2006","Ehrlicher und Kain",42,"Andreas Pflüger","Uwe Janson","Ehrlicher und Kain ermitteln größtenteils in Weimar"
651,"Die Blume des Bösen","WDR","01.1.2007","Ballauf und Schenk",36,"Thomas Stiller","Thomas Stiller",""
652,"Bienzle und die große Liebe","SWR","07.1.2007","Bienzle",24,"Felix Huby","Hartmut Griesmayr","Gastauftritt des damaligen SWR-Intendanten Peter Voß als Polizeipräsident"
653,"Schwelbrand","Radio Bremen","21.1.2007","Lürsen und Stedefreund",16,"Thorsten Näter","Thorsten Näter",""
654,"Roter Tod","SWR","28.1.2007","Odenthal und Kopper",40,"Horst Freund","Christoph Stark",""
655,"Das Ende des Schweigens","NDR","11.2.2007","Borowski und Jung",8,"Jörg von Schlebrügge","Buddy Giovinazzo",""
656,"Der Tote vom Straßenrand","SR","18.2.2007","Kappl und Deininger",2,"Fred und Léonie-Claire Breinersdorfer","Rolf Schübel",""
657,"Bienzle und sein schwerster Fall","SWR","25.2.2007","Bienzle",25,"Felix Huby","Hartmut Griesmayr","Letzter Fall dieses Ermittlers"
658,"Liebeshunger","NDR","11.3.2007","Casstorff und Holicek",13,"Rafael Sola Ferrer","Thomas Bohn",""
659,"Ruhe sanft!","WDR","18.3.2007","Thiel und Boerne",11,"Stefan Cantz und Jan Hinter","Manfred Stelzer",""
660,"Dornröschens Rache","RBB","25.3.2007","Ritter und Stark",22,"Frauke Hunfeld","Christine Hartmann",""
661,"Die Anwältin","MDR","01.4.2007","Ehrlicher und Kain",43,"Raimund Weber und Fred Breinersdorfer","Dieter Berner",""
662,"Engel der Nacht","SWR","09.4.2007","Blum und Perlmann",11,"Susanne Schneider","Thomas Jahn",""
663,"Das namenlose Mädchen","NDR","15.4.2007","Lindholm",10,"Khyana el Bitar und Matthias Keilich","Michael Gutmann","Lindholm ermittelt in Osnabrück; Deutscher Fernsehpreis 2007 (Beste Schauspielerin) an Maria Furtwängler"
664,"Der Finger","BR","29.4.2007","Batic und Leitmayr",45,"Carolin Otto","Peter Fratzscher",""
665,"Die dunkle Seite","SWR","06.5.2007","Odenthal und Kopper",41,"Buch: Xaõ Seffcheque, Jürgen Starbatty; Drehfassung: Thomas Freundner","Thomas Freundner",""
666,"Familiensache","ORF","20.5.2007","Eisner",16,"Thomas Roth","Thomas Roth",""
667,"Racheengel","MDR","28.5.2007","Ehrlicher und Kain",44,"Mario Giordano","Hannu Salonen",""
668,"Investigativ","NDR","10.6.2007","Casstorff und Holicek",14,"Christoph Silber und Thorsten Wettcke","Claudia Garde",""
669,"Tödliche Habgier","ORF","24.6.2007","Eisner",17,"Felix Mitterer","Wolfgang Murnberger",""
670,"Sterben für die Erben","SWR","01.7.2007","Odenthal und Kopper",42,"Dorothee Schön","Lars Montag",""
671,"Strahlende Zukunft","Radio Bremen","26.8.2007","Lürsen und Stedefreund",17,"Christian Jeltsch","Mark Schlichter",""
672,"Blutsbande","SWR","09.9.2007","Blum und Perlmann",12,"Susanne Schneider","Jürgen Bretzinger",""
673,"Macht der Angst","NDR","16.9.2007","Borowski",9,"Joachim Scherf, nach einer Idee von Thomas Kirchner","Florian Baxmeyer",""
674,"A gmahde Wiesn","BR","23.9.2007","Batic und Leitmayr",46,"Friedrich Ani","Martin Enlen",""
675,"Nachtgeflüster","WDR","07.10.2007","Ballauf und Schenk",37,"Stefan Cantz und Jan Hinter","Torsten C. Fischer",""
676,"Unter uns","HR","14.10.2007","Dellwo und Sänger",10,"Katrin Bühlig","Margarethe von Trotta","Nominiert für den Adolf-Grimme-Preis 2008"
677,"Der Traum von der Au","BR","21.10.2007","Batic und Leitmayr",47,"Peter Probst","Tim Trageser","Letzter Fall mit Assistent Menzinger"
678,"Satisfaktion","WDR","28.10.2007","Thiel und Boerne",12,"Johannes W. Betz","Manuel Flurin Hendry",""
679,"Die Falle","MDR","11.11.2007","Ehrlicher und Kain",45,"Hans-Werner Honert","Hajo Gies","Letzter Fall dieses Ermittlerteams; am Ende wird Ehrlicher pensioniert und Kain kündigt."
680,"Bevor es dunkel wird","HR","25.11.2007","Dellwo und Sänger",11,"Henriette Piper","Martin Enlen","Günter-Strack-Fernsehpreis 2008 an Karoline Schuch"
681,"Spätschicht","WDR","02.12.2007","Ballauf und Schenk",38,"Thorsten Näter","Thorsten Näter",""
682,"Schleichendes Gift","RBB","09.12.2007","Ritter und Stark",23,"Thomas Kirchner","Uwe Janson",""
683,"Kleine Herzen","BR","16.12.2007","Batic und Leitmayr",48,"Stefanie Kremser","Filippos Tsitos","Nominiert für den Adolf-Grimme-Preis 2008; Nachwuchsförderpreis beim Bayerischen Fernsehpreis an Janina Stopper"
684,"Wem Ehre gebührt","NDR","23.12.2007","Lindholm",11,"Angelina Maccarone","Angelina Maccarone","Folge wird nicht wiederholt: Nach der Ausstrahlung kam es zu Protestaktionen der Aleviten in Deutschland"
685,"Fettkiller","SWR","30.12.2007","Odenthal und Kopper",43,"Andreas Schlüter, Mario Giordano","Ute Wieland",""
686,"Der Kormorankrieg","SWR","06.1.2008","Blum und Perlmann",13,"Matthias Dinter, Xaõ Seffcheque","Jürgen Bretzinger",""
687,"Verdammt","WDR","27.1.2008","Ballauf und Schenk",39,"Jürgen Werner","Maris Pfeiffer",""
688,"Borowski und das Mädchen im Moor","NDR","17.2.2008","Borowski",10,"Sascha Arango","Claudia Garde",""
689,"Und Tschüss","NDR","24.2.2008","Casstorff und Holicek",15,"Thomas Bohn","Thomas Bohn","Letzter Fall dieses Ermittlers"
690,"Hart an der Grenze","SWR","09.3.2008","Lannert und Bootz",1,"Holger Karsten Schmidt","Elmar Fischer",""
691,"Tod einer Heuschrecke","RBB","16.3.2008","Ritter und Stark",24,"Hartmann Schmige","Ralph Bohn",""
692,"Seenot","SWR/SRF","13.1.2008","Blum und Perlmann, Reto Flückiger",14,"Dorothee Schön","René Heisig","Premiere im Schweizer Fernsehen außerhalb der Tatort-Reihe als SF Schweizer Film in Schweizer Dialektfassung"
693,"Erntedank e. V.","NDR","30.3.2008","Lindholm",12,"Angelina Maccarone","Angelina Maccarone",""
694,"Schatten der Angst","SWR","06.4.2008","Odenthal und Kopper",44,"Annette Bassfeld-Schepers, Martin Eigler","Martin Eigler","Ursprünglich für den 10. Februar 2008 vorgesehen, wegen des Wohnhausbrandes in Ludwigshafen verschoben."
695,"Müll","WDR","20.4.2008","Ballauf und Schenk",40,"Achim Scholz","Kaspar Heidelbach",""
696,"Der oide Depp","BR","27.4.2008","Batic und Leitmayr",49,"Alexander Adolph","Michael Gutmann","Nominiert für den Adolf-Grimme-Preis 2009"
697,"Exitus","ORF","04.5.2008","Eisner",18,"Thomas Roth","Thomas Roth",""
698,"Der frühe Abschied","HR","12.5.2008","Dellwo und Sänger",12,"Judith Angerbauer","Lars Kraume","Darsteller-Sonderpreis an Lisa Hagmeister und Tom Schilling beim Deutschen Fernsehkrimipreis 2008"
699,"Krumme Hunde","WDR","18.5.2008","Thiel und Boerne",13,"Stefan Cantz, Jan Hinter","Manfred Stelzer",""
700,"Todesstrafe","MDR","25.5.2008","Saalfeld und Keppler",1,"Andreas Schlüter, Mario Giordano","Patrick Winczewski","Erster Auftritt als Leipziger Ermittlerteam Saalfeld/Keppler"
701,"Ausweglos","MDR","06.7.2008","Saalfeld und Keppler",2,"Andreas Pflüger","Hajo Gies",""
702,"In eigener Sache","SWR","17.8.2008","Lannert und Bootz",2,"Holger Karsten Schmidt","Elmar Fischer",""
703,"Blinder Glaube","RBB","31.8.2008","Ritter und Stark",25,"Andreas Pflüger","Jürgen Bretzinger",""
704,"Das schwarze Grab","SR","14.9.2008","Kappl und Deininger",3,"Thomas Kirchner, nach dem gleichnamigen Roman von Martin Conrath","Gregor Schnitzler",""
705,"Liebeswirren","BR","28.9.2008","Batic und Leitmayr",50,"Christian Limmer","Tobias Ineichen",""
706,"Der glückliche Tod","SWR","05.10.2008","Odenthal und Kopper",45,"André Georgi","Aelrun Goette","Thema Sterbehilfe; Film- und Fernsehpreis 2009 des Hartmannbunds. Nominiert für den Fernsehfilmpreis der Deutschen Akademie der Darstellenden Künste 2008"
707,"Borowski und die einsamen Herzen","NDR","12.10.2008","Borowski",11,"Thomas Schwank","Lars Jessen",""
708,"Brandmal","WDR","19.10.2008","Ballauf und Schenk",41,"Karl-Heinz Käfer","Maris Pfeiffer",""
709,"Auf der Sonnenseite","NDR","26.10.2008","Batu",1,"Christoph Silber, Thorsten Wettcke","Richard Huber","Publikumspreis der Marler Gruppe 2009; Deutscher Fernsehpreis 2009 (Beste Kamera) an Martin Langer; nominiert für die Goldene Kamera 2009"
710,"Wolfsstunde","WDR","09.11.2008","Thiel und Boerne",14,"Kilian Riedhof, Marc Blöbaum","Kilian Riedhof","Publikumspreis beim Deutschen Fernsehkrimipreis 2009"
711,"Salzleiche","NDR","16.11.2008","Lindholm",13,"Johannes W. Betz und Max Eipp","Christiane Balthasar",""
712,"Häschen in der Grube","BR","23.11.2008","Batic und Leitmayr",51,"Ingeborg Bellmann","Dagmar Knöpfel",""
713,"Unbestechlich","MDR","07.12.2008","Saalfeld und Keppler",3,"Andreas Pflüger","Nils Willbrandt",""
714,"Waffenschwestern","HR","14.12.2008","Sänger",13,"Michael Proehl","Florian Schwarz","Letzter Einsatz für Sascha Göpel"
715,"Granit","ORF","21.12.2008","Eisner",19,"Felix Mitterer","Fabian Eder",""
716,"Der tote Chinese","HR","28.12.2008","Dellwo und Sänger",14,"Hendrik Handloegten, David Keller","Hendrik Handloegten","Nominiert für den Adolf-Grimme-Preis 2009. Sonderpreis an Kameramann Peter Przybylski beim Deutschen Fernsehkrimipreis 2009"
717,"Baum der Erlösung","ORF","04.1.2009","Eisner",20,"Felix Mitterer","Harald Sicheritz","Thematisiert den Minarettstreit von Telfs"
718,"Schwarzer Peter","MDR","18.1.2009","Saalfeld und Keppler",4,"Katrin Bühlig","Christine Hartmann",""
719,"Rabenherz","WDR","25.1.2009","Ballauf und Schenk",42,"Markus Busch","Torsten C. Fischer",""
720,"Kassensturz","SWR","01.2.2009","Odenthal und Kopper",46,"Stephan Falk,Lars Montag","Lars Montag","Thema Arbeitsbedingungen bei Discountern; ver.di-Fernsehpreis und Nominierung für den Deutschen Fernsehpreis 2009 an die Drehbuchautoren"
721,"Familienaufstellung","Radio Bremen","08.2.2009","Lürsen und Stedefreund",18,"Thea Dorn,Seyran Ates","Mark Schlichter",""
722,"Neuland","HR","15.2.2009","Dellwo",15,"Bernd Lange","Manuel Flurin Hendry","Hessischer Fernsehpreis 2009 an Nina Kunzendorf"
723,"Herz aus Eis","SWR","22.2.2009","Blum und Perlmann",15,"Dorothee Schön","Ed Herzog","New Faces Award an Nora von Waldstätten und Florian Bartholomäi"
724,"Tödliche Tarnung","SWR","01.3.2009","Lannert und Bootz",3,"Holger Karsten Schmidt","Rainer Matsutani",""
725,"Mauerblümchen","MDR","08.3.2009","Saalfeld und Keppler",5,"Simone Schneider","Johannes Fabrick",""
726,"Das Gespenst","NDR","15.3.2009","Lindholm",14,"Stefan Dähnert","Dror Zahavi",""
727,"Höllenfahrt","WDR","22.3.2009","Thiel und Boerne",15,"Matthias Seelig und Claudia Falk","Tim Trageser",""
728,"Gesang der toten Dinge","BR","29.3.2009","Batic und Leitmayr",52,"Markus Fenner","Thomas Roth",""
729,"Häuserkampf","NDR","13.4.2009","Batu",2,"Johannes W. Betz und Peter Braun","Florian Baxmeyer",""
730,"Oben und unten","RBB","19.4.2009","Ritter und Stark",26,"Natja Brunckhorst","Nils Willbrandt",""
731,"Bittere Trauben","SR","26.4.2009","Kappl und Deininger",4,"Andreas Pflüger","Hannu Salonen",""
732,"Borowski und die heile Welt","NDR","03.5.2009","Borowski",12,"Elke Schuch,Marc Blöbaum","Florian Froschmayer","Axel Milberg (Bester Schauspieler Hauptrolle) und Fabian Hinrichs (Bester Schauspieler Nebenrolle) waren für den Deutschen Fernsehpreis 2009 nominiert"
733,"Tödlicher Einsatz","SWR","10.5.2009","Odenthal und Kopper",47,"Kai-Uwe Hasenheit","Bodo Fürneisen","Günter-Strack-Fernsehpreis 2010 an Mirco Kreibich"
734,"Schiffe versenken","Radio Bremen","24.5.2009","Lürsen und Stedefreund",19,"Wilfried Huismann und Philip LaZebnik","Florian Baxmeyer",""
735,"Kinderwunsch","ORF","01.6.2009","Eisner",21,"Thomas Baum","Walter Bannert",""
736,"Im Sog des Bösen","SWR","07.6.2009","Blum und Perlmann",16,"Susanne Schneider","Didi Danquart",""
737,"Tote Männer","Radio Bremen/WDR","14.6.2009","Lürsen und Stedefreund",20,"Jochen Greve","Thomas Jauch",""
738,"Das Mädchen Galina","SWR","21.6.2009","Lannert und Bootz",4,"Stephan Brüggenthies","Thomas Freundner",""
739,"Mit ruhiger Hand","WDR","23.8.2009","Ballauf und Schenk",43,"Jürgen Werner","Maris Pfeiffer",""
740,"Architektur eines Todes","HR","06.9.2009","Dellwo und Sänger",16,"Judith Angerbauer","Titus Selge",""
741,"Borowski und die Sterne","NDR","20.9.2009","Borowski",13,"Angelina Maccarone","Angelina Maccarone","Sängerin Helen Schneider spielt hier die Ex-Geliebte eines von Hugo Egon Balder dargestellten Rockstars"
742,"Platt gemacht","WDR","04.10.2009","Ballauf und Schenk",44,"Stefan Cantz und Jan Hinter","Buddy Giovinazzo","Gastauftritt von Die Höhner"
743,"Vermisst","SWR","11.10.2009","Odenthal und Kopper",48,"Christoph Darnstädt","Andreas Senn",""
744,"Um jeden Preis","BR","18.10.2009","Batic und Leitmayr",53,"Christian Jeltsch","Peter Fratzscher",""
745,"Tempelräuber","WDR","25.10.2009","Thiel und Boerne",16,"Magnus Vattrodt","Matthias Tiefenbacher",""
746,"Schweinegeld","RBB","01.11.2009","Ritter und Stark",27,"Christoph Silber und Thorsten Wettcke","Bodo Fürneisen",""
747,"… es wird Trauer sein und Schmerz","NDR","15.11.2009","Lindholm",15,"Astrid Paprotta","Friedemann Fromm",""
748,"Falsches Leben","MDR","06.12.2009","Saalfeld und Keppler",6,"Andreas Pflüger","Hajo Gies",""
749,"Wir sind die Guten","BR","13.12.2009","Batic und Leitmayr",54,"Jobst Oetzmann und Magnus Vattrodt","Jobst Oetzmann",""
750,"Altlasten","SWR","27.12.2009","Lannert und Bootz",5,"Katrin Bühlig","Eoin Moore","Nominiert für den Adolf-Grimme-Preis 2010. Filmkunst-Sonderpreis Herausragender Fernsehfilm beim Festival des deutschen Films 2010"
751,"Weil sie böse sind","HR","03.1.2010","Dellwo und Sänger",17,"Michael Proehl","Florian Schwarz","Deutscher Fernsehpreis 2010 als Bester Fernsehfilm. Nominiert für den Adolf-Grimme-Preis 2010. Darsteller-Sonderpreis an Milan Peschel beim Deutschen Fernsehkrimipreis 2010. Hessischer Fernsehpreis 2010 (Beste Schauspieler) an Matthias Schweighöfer und Milan Peschel."
752,"Klassentreffen","WDR","10.1.2010","Ballauf und Schenk",45,"Jürgen Werner","Kaspar Heidelbach",""
753,"Der Polizistinnenmörder","SWR/SRF","03.1.2010","Blum und Perlmann, Reto Flückiger",17,"Leo P. Ard","Florian Froschmayer","Premiere im Schweizer Fernsehen außerhalb der Tatort-Reihe. Nominierung für den Bayerischen Fernsehpreis 2010 (beste Schauspielerin Serien und Reihen) an Eva Mattes"
754,"Hilflos","SR","24.1.2010","Kappl und Deininger",5,"Stefan Schaller, Sabine Radebold","Hannu Salonen",""
755,"Vergessene Erinnerung","NDR","31.1.2010","Lindholm",16,"Dirk Salomon und Thomas Wesskamp, Bearbeitung Ulf Tschauder","Christiane Balthasar",""
756,"Königskinder","Radio Bremen","07.2.2010","Lürsen und Stedefreund",21,"Thorsten Näter","Thorsten Näter",""
757,"Tod auf dem Rhein","SWR","28.2.2010","Odenthal und Kopper",49,"Horst Freund","Patrick Winczewski",""
758,"Absturz","MDR","14.3.2010","Saalfeld und Keppler",7,"André Georgi","Torsten C. Fischer",""
759,"Kaltes Herz","WDR","21.3.2010","Ballauf und Schenk",46,"Peter Dommaschk,Ralf Leuther","Thomas Jauch",""
760,"Vergissmeinnicht","NDR","28.3.2010","Batu",3,"Christoph Darnstädt,Tim Krause","Richard Huber",""
761,"Tango für Borowski","NDR","04.4.2010","Borowski",14,"Clemens Murath","Hannu Salonen","Spielt in Finnland und wurde dort gedreht. Letzter Fall mit Frieda Jung."
762,"Blutgeld","SWR","25.4.2010","Lannert und Bootz",6,"Martin Eigler","Martin Eigler",""
763,"Der Fluch der Mumie","WDR","16.5.2010","Thiel und Boerne",17,"Jan Hinter, Stefan Cantz","Kaspar Heidelbach",""
764,"Hitchcock und Frau Wernicke","RBB","24.5.2010","Ritter und Stark",28,"Klaus Krämer","Klaus Krämer",""
765,"Schlafende Hunde","Radio Bremen","30.5.2010","Lürsen und Stedefreund",22,"Wilfried Huismann, Dagmar Gabler","Florian Baxmeyer",""
766,"Heimwärts","MDR","06.6.2010","Saalfeld und Keppler",8,"Heike Rübbert","Johannes Grieser",""
767,"Operation Hiob","ORF","04.7.2010","Eisner",22,"Max Gruber","Nikolaus Leytner",""
768,"Hauch des Todes","SWR","22.8.2010","Odenthal und Kopper",50,"Jürgen Werner","Lars Montag",""
769,"Glaube, Liebe, Tod","ORF","29.8.2010","Eisner",23,"Lukas Sturm","Michi Riebl",""
770,"Am Ende des Tages","HR","05.9.2010","Dellwo und Sänger",18,"Titus Selge","Titus Selge","Letzter Fall dieses Ermittlerteams."
771,"Schmale Schultern","WDR","12.9.2010","Ballauf und Schenk",47,"Jürgen Werner","Christoph Schnee",""
772,"Bluthochzeit","SWR","19.9.2010","Blum und Perlmann",18,"Stefan Dähnert","Patrick Winczewski","Wegen einer aktuellen Sendung zur Bundestagswahl 2009 um ein Jahr verschoben."
773,"Die Unmöglichkeit, sich den Tod vorzustellen","RBB","26.9.2010","Ritter und Stark",29,"Beate Langmaack","Christine Hartmann",""
774,"Die Heilige","BR","03.10.2010","Batic und Leitmayr",55,"Jobst Oetzmann, Magnus Vattrodt","Jobst Oetzmann",""
775,"Spargelzeit","WDR","10.10.2010","Thiel und Boerne",18,"Jürgen Werner","Manfred Stelzer",""
776,"Der Schrei","SWR","17.10.2010","Odenthal und Kopper",51,"Harald Göckeritz","Gregor Schnitzler",""
777,"Borowski und eine Frage von reinem Geschmack","NDR","24.10.2010","Borowski",15,"Christoph Silber, Thorsten Wettcke und Kai Hafemeister","Florian Froschmayer","Tatort im Rahmen der ARD-Themenwoche „Essen ist Leben“"
778,"Der letzte Patient","NDR","31.10.2010","Lindholm",17,"Astrid Paprotta","Friedemann Fromm",""
779,"Die Unsichtbare","SWR","14.11.2010","Lannert und Bootz",7,"Eva und Volker A. Zahn","Johannes Grieser",""
780,"Unsterblich schön","BR","21.11.2010","Batic und Leitmayr",56,"Stefanie Kremser","Filippos Tsitos",""
781,"Wie einst Lilly","HR","28.11.2010","Murot",1,"Christian Jeltsch","Achim von Borries","Goldene Kamera 2011 an Ulrich Tukur (Bester deutscher Schauspieler); nominiert für die Goldene Kamera (Bester deutscher Fernsehfilm) und für den Grimme-Preis"
782,"Familienbande","WDR","05.12.2010","Ballauf und Schenk",48,"Hans Werner,Peter Goslicki","Thomas Jauch",""
783,"Schön ist anders","MDR","12.12.2010","Saalfeld und Keppler",9,"Katrin Bühlig","Judith Kennel",""
784,"Nie wieder frei sein","BR","19.12.2010","Batic und Leitmayr",57,"Dinah Marte Golch","Christian Zübert","Grimme-Preis 2011. Hauptpreis beim Deutschen Fernsehkrimipreis 2011, Darstellerpreis an Lisa Wagner."
785,"Borowski und der vierte Mann","NDR","26.12.2010","Borowski",16,"Daniel Nocke nach einer Vorlage von Henning Mankell","Claudia Garde",""
786,"Tödliche Ermittlungen","SWR","02.1.2011","Odenthal und Kopper",52,"Andreas Schlüter","Michael Schneider",""
787,"Unter Druck","WDR","09.1.2011","Ballauf und Schenk",49,"Dagmar Gabler","Herwig Fischer",""
788,"Der schöne Schein","SWR/SRF","16.1.2011","Blum und Perlmann, Reto Flückiger",19,"Susanne Schneider","René Heisig",""
789,"Heimatfront","SR","23.1.2011","Kappl und Deininger",6,"Uwe Wilhelm","Jochen Alexander Freydank","Die Handlung spielt im Umfeld des Fallschirmjägerbataillons 261 und thematisiert die Traumatisierung von zurückgekehrten Soldaten aus dem Afghanistaneinsatz der Bundeswehr."
790,"Stille Wasser","Radio Bremen/WDR","13.2.2011","Lürsen und Stedefreund",23,"Thorsten Näter","Thorsten Näter",""
791,"Rendezvous mit dem Tod","MDR","20.2.2011","Saalfeld und Keppler",10,"Clemens Schönborn, Maike Hauck","Buddy Giovinazzo",""
792,"Leben gegen Leben","NDR","27.2.2011","Batu",4,"Nils Willbrandt","Nils Willbrandt",""
793,"Vergeltung","ORF","06.3.2011","Eisner und Fellner",24,"Uli Brée","Wolfgang Murnberger",""
794,"Mord in der ersten Liga","NDR","20.3.2011","Lindholm",18,"Harald Göckeritz","Nils Willbrandt",""
795,"Im Netz der Lügen","SWR","27.3.2011","Blum und Perlmann",20,"Dorothee Schön","Patrick Winczewski",""
796,"Edel sei der Mensch und gesund","RBB","03.4.2011","Ritter und Stark",30,"Gerhard J. Rekel und Dinah Marte Golch","Florian Froschmayer",""
797,"Jagdzeit","BR","10.4.2011","Batic und Leitmayr",58,"Peter Probst","Peter Fratzscher",""
798,"Grabenkämpfe","SWR","25.4.2011","Lannert und Bootz",8,"Jan Hinter,Stefan Cantz","Zoltan Spirandelli",""
799,"Herrenabend","WDR","01.5.2011","Thiel und Boerne",19,"Magnus Vattrodt","Matthias Tiefenbacher",""
800,"Eine bessere Welt","HR","08.5.2011","Steier und Mey",1,"Alexander Adolph","Lars Kraume","Hessischer Fernsehpreis, Bester Darsteller an Justus von Dohnányi"
801,"Der illegale Tod","Radio Bremen","15.5.2011","Lürsen und Stedefreund",24,"Christian Jeltsch","Florian Baxmeyer",""
802,"Ausgelöscht","ORF","29.5.2011","Eisner und Fellner",25,"Uli Brée","Harald Sicheritz","Nominiert für den Grimme-Preis 2012"
803,"Gestern war kein Tag","BR","05.6.2011","Batic und Leitmayr",59,"Pim Richter,Daniela Mohr","Christian Görlitz",""
804,"Nasse Sachen","MDR","13.6.2011","Saalfeld und Keppler",11,"Andreas Knaup","Johannes Grieser",""
805,"Im Abseits","SWR","19.6.2011","Odenthal und Kopper",53,"Jürgen Werner","Uwe Janson","Anlässlich der Fußball-Weltmeisterschaft der Frauen 2011 gezeigt; Gastauftritte prominenter Vertreter des DFB."
806,"Wunschdenken","SRF","14.8.2011","Flückiger und Lanning",1,"Nils-Morten Osburg","Markus Imboden","Für den 17. April 2011 vorgesehene Erstsendung wurde im Februar wegen Qualitätsbedenken des Schweizer Fernsehens verschoben; einziger Fall mit Ermittlerin Abigail Lanning."
807,"Lohn der Arbeit","ORF","28.8.2011","Eisner",26,"Felix Mitterer","Erich Hörtnagel","Ohne Adele Neuhauser, da die Folge vor Folge 24 und damit vor Einführung der Rolle „Bibi Fellner“ gedreht wurde."
808,"Altes Eisen","WDR","04.9.2011","Ballauf und Schenk",50,"Mario Giordano","Mark Schlichter",""
809,"Tod einer Lehrerin","SWR","11.9.2011","Odenthal und Kopper",54,"Hans Gerd Müller-Welters, Thomas Freundner","Thomas Freundner",""
810,"Zwischen den Ohren","WDR","18.9.2011","Thiel und Boerne",20,"Thorsten Wettcke, Christoph Silber","Franziska Meletzky",""
811,"Auskreuzung","WDR","25.9.2011","Ballauf und Schenk",51,"Karl-Heinz Käfer","Torsten C. Fischer",""
